,Comment,Emotion,Comment_clean
1303,i feel irritable and unfulfilled if i dont paint for several days,anger,i feel irritable and unfulfilled if i do not paint for several days
1304,i feel more adventurous willing to take risks img src http cdn,joy,i feel more adventurous willing to take risks cdn
1305,i always feel invigorated while listening to her that we can win this war against predatory school deform,joy,i always feel invigorated while listening to her that we can win this war against predatory school deform
1306,i was feeling pretty bitchy and horrible but dont worry,anger,i was feeling pretty bitchy and horrible but do not worry
1307,i have been walking around feeling pissed off at the world lately,anger,i have been walking around feeling pissed off at the world lately
1308,i feel free exhilarated,joy,i feel free exhilarated
1309,i feel angry im happy,anger,i feel angry i am happy
1310,i is feeling particularly hostile shell say no red shirt today nickey,anger,i is feeling particularly hostile shell say no red shirt today nickey
1311,i hear the word and i feel stronger and re assured once again,joy,i hear the word and i feel stronger and re assured once again
1312,my girlfriend sent me a letter with a shiny picture in it,joy,my girlfriend sent me a letter with a shiny picture in it
1313,i hear you loud and clear that this is an important issue for you but in the grand scheme of things i cant help but feel that this is so petty,anger,i hear you loud and clear that this is an important issue for you but in the grand scheme of things i cant help but feel that this is so petty
1314,i feel like i should care that im a bit heartless not to,anger,i feel like i should care that i am a bit heartless not to
1315,i feel hes being very casual with my entire future,joy,i feel hes being very casual with my entire future
1316,im feeling a bit suspicious,fear,i am feeling a bit suspicious
1317,i feel equally morally outraged regardless of whether its michigans or new yorks governor sleeping with prostitutes behind his wifes and daughters backs,anger,i feel equally morally outraged regardless of whether its michigans or new yorks governor sleeping with prostitutes behind his wifes and daughters backs
1318,i am tired feeling overwhelmed and it seems like i am being assaulted from every direction i am not always at my best,fear,i am tired feeling overwhelmed and it seems like i am being assaulted from every direction i am not always at my best
1319,im actually feeling a little smug,joy,i am actually feeling a little smug
1320,i met you i used to want to lock myself into a vault just to feel precious,joy,i met you i used to want to lock myself into a vault just to feel precious
1321,i really want to share the chance for you to win too because i feel passionate about the subject,joy,i really want to share the chance for you to win too because i feel passionate about the subject
1322,i can t help myself from feeling a bit apprehensive in the meantime,fear,i can t help myself from feeling a bit apprehensive in the meantime
1323,im not feeling exactly thrilled with standing in front of a mirror if you know what i mean,joy,i am not feeling exactly thrilled with standing in front of a mirror if you know what i mean
1324,i know all art animals are lame and i feel particularly violent about the crabs,anger,i know all art animals are lame and i feel particularly violent about the crabs
1325,i always intended on achieving just so i could be with everyone else and feel like i was an intelligent productive and successful person,joy,i always intended on achieving just so i could be with everyone else and feel like i was an intelligent productive and successful person
1326,i still think it is worth posting here as a reminder for the next time i feel anxious,fear,i still think it is worth posting here as a reminder for the next time i feel anxious
1327,i cant help but feel distraught,fear,i cant help but feel distraught
1328,i ask you not to feel pressured by this,fear,i ask you not to feel pressured by this
1329,i feel uncomfortable and slobby,fear,i feel uncomfortable and slobby
1330,i feel as though sometimes i can be more clever than average,joy,i feel as though sometimes i can be more clever than average
1331,i growled at her i began to feel extremely annoyed with her,anger,i growled at her i began to feel extremely annoyed with her
1332,i feel cheated and wronged let down and spurned the vine i tended and nursed how could it do this to me,anger,i feel cheated and wronged let down and spurned the vine i tended and nursed how could it do this to me
1333,i didn t want them sending me crap i d feel almost insulted to win and embarrassed for whoever made it like in oregon,anger,i did not want them sending me crap i d feel almost insulted to win and embarrassed for whoever made it like in oregon
1334,i feel so impatient and sometimes i feel thankful that god gave me more time for the moulding of my heart,anger,i feel so impatient and sometimes i feel thankful that god gave me more time for the moulding of my heart
1335,i feel a bit frightened that you are touching my car while i am away repeatedly i ask you to stop putting stuff on it,fear,i feel a bit frightened that you are touching my car while i am away repeatedly i ask you to stop putting stuff on it
1336,im just happy to be feeling something because for the last few days ive felt pretty,joy,i am just happy to be feeling something because for the last few days i have felt pretty
1337,i am feeling that it my be a more dangerous task than dancing in a lightening storm with an umbrella,anger,i am feeling that it my be a more dangerous task than dancing in a lightening storm with an umbrella
1338,i just wish i didnt feel like my roommates hated me half the time,anger,i just wish i did not feel like my roommates hated me half the time
1339,i often feel offended by life,anger,i often feel offended by life
1340,i need to do after much prayer considering things like this but i still always feel a little reluctant to act but i do anyway,fear,i need to do after much prayer considering things like this but i still always feel a little reluctant to act but i do anyway
1341,im feeling pretty paranoid and trying to cover the cash and protect my belongings it definitely felt like i was doing something i shouldnt be doing like money laundering or something,fear,i am feeling pretty paranoid and trying to cover the cash and protect my belongings it definitely felt like i was doing something i should not be doing like money laundering or something
1342,i have to admit i was feeling very skeptical,fear,i have to admit i was feeling very skeptical
1343,i was intensely conscious of how much cash i had left in my gas and food envelope and i still have what i intended to save for next week which helps me not feel so stressed and scared,anger,i was intensely conscious of how much cash i had left in my gas and food envelope and i still have what i intended to save for next week which helps me not feel so stressed and scared
1344,i feel irritated that he either interrupts my quiet time or wakes me up,anger,i feel irritated that he either interrupts my quiet time or wakes me up
1345,im getting the feeling that my classes are a little intimidated by the concept of a lit,fear,i am getting the feeling that my classes are a little intimidated by the concept of a lit
1346,im feeling very grumpy this week but its not just my annual outbreak of ptpt pre te pouhere tension there has surely been a great deal to be grumpy about this week,anger,i am feeling very grumpy this week but its not just my annual outbreak of ptpt pre te pouhere tension there has surely been a great deal to be grumpy about this week
1347,i feel it is vital to make the most of that day and live it to our fullest potential,joy,i feel it is vital to make the most of that day and live it to our fullest potential
1348,i was feeling annoyed suddenly,anger,i was feeling annoyed suddenly
1349,i feel very disgusted by that i cant tolerated her actions anymore by writing this post,anger,i feel very disgusted by that i cant tolerated her actions anymore by writing this post
1350,i feel completely shaken up,fear,i feel completely shaken up
1351,im so excited but feeling scared too,fear,i am so excited but feeling scared too
1352,i felt like i was losing control of my body and it was hard for me to feel calm and positive about that because it wasn t an irrational thought,joy,i felt like i was losing control of my body and it was hard for me to feel calm and positive about that because it was not an irrational thought
1353,i feel like if there are pickles in the fridge everything will be ok,joy,i feel like if there are pickles in the fridge everything will be ok
1354,i am feeling hopeful and looking forward once again,joy,i am feeling hopeful and looking forward once again
1355,i still did not really feel like myself and i kind of hated these pictures but i am soooo glad we took them,anger,i still did not really feel like myself and i kind of hated these pictures but i am soooo glad we took them
1356,i feel like there is a violent war going on in my stomach,anger,i feel like there is a violent war going on in my stomach
1357,i had this strange feeling that she was incredibly distressed,fear,i had this strange feeling that she was incredibly distressed
1358,i ask him if he is feeling adventurous and wants to see that one since he already booked his friday and saturday nights and i already know he has church stuff on sundays,joy,i ask him if he is feeling adventurous and wants to see that one since he already booked his friday and saturday nights and i already know he has church stuff on sundays
1359,im finally looking forward to my toes kissing the sand once again and feeling so free,joy,i am finally looking forward to my toes kissing the sand once again and feeling so free
1360,i already feel like ive been accepted into the community here,joy,i already feel like i have been accepted into the community here
1361,i wonder if feeling complacent is a result of my laziness,joy,i wonder if feeling complacent is a result of my laziness
1362,i guess only my wife can really know for sure but i feel at least a little bit less selfish since being married,anger,i guess only my wife can really know for sure but i feel at least a little bit less selfish since being married
1363,when i saw my family after a separation of one year,joy,when i saw my family after a separation of one year
1364,i feel frustrated irritable even,anger,i feel frustrated irritable even
1365,i think if a poem doesn t put pressure on me i don t feel uncomfortable in the sense of feeling more than i can feel understanding more than i can understand loving more than i am able to be in love,fear,i think if a poem does not put pressure on me i do not feel uncomfortable in the sense of feeling more than i can feel understanding more than i can understand loving more than i am able to be in love
1366,id like to be less afraid to say how i really feel less afraid to travel,fear,id like to be less afraid to say how i really feel less afraid to travel
1367,i feel so pissed off that i can bite off a fucking tree log,anger,i feel so pissed off that i can bite off a fucking tree log
1368,i feel another violent daydream coming up and i bet it has something to do with me getting my hands on a saint just costume,anger,i feel another violent daydream coming up and i bet it has something to do with me getting my hands on a saint just costume
1369,i never realized just how awful my mother has been feeling about her lack of energy and independence until i had this operation and have been so wimpy and tired,fear,i never realized just how awful my mother has been feeling about her lack of energy and independence until i had this operation and have been so wimpy and tired
1370,i feel insulted by this that he doesnt even respect me enough to let me know hes not coming not until i indicated i was going to bed,anger,i feel insulted by this that he does not even respect me enough to let me know hes not coming not until i indicated i was going to bed
1371,i was told to do it continues and the fact i feel fear frightened correction terrified of what is next,fear,i was told to do it continues and the fact i feel fear frightened correction terrified of what is next
1372,im not quite sure what it is but its a feeling specially for you and its nothing hostile,anger,i am not quite sure what it is but its a feeling specially for you and its nothing hostile
1373,i have a feeling that jeremy is not going to be too keen on the vinegary smell that calli is giving off right now,joy,i have a feeling that jeremy is not going to be too keen on the vinegary smell that calli is giving off right now
1374,i worked as a computer tech this ability to hyper focus on one issue is a real asset however for living day to day i can get bogged down and feel frustrated that i am not making progress because i am focused on one problem,anger,i worked as a computer tech this ability to hyper focus on one issue is a real asset however for living day to day i can get bogged down and feel frustrated that i am not making progress because i am focused on one problem
1375,i may resurrect when im feeling more generous i did an all too lengthy series on a history of my celebrity crushes,joy,i may resurrect when i am feeling more generous i did an all too lengthy series on a history of my celebrity crushes
1376,i told him it is because asians are very considerate so whenever a person is not feeling well they would have the common courtesy to wear a mask to reduce risk of spreading it to people around us,joy,i told him it is because asians are very considerate so whenever a person is not feeling well they would have the common courtesy to wear a mask to reduce risk of spreading it to people around us
1377,im feeling anxious all im really trying to do is project the exact opposite,fear,i am feeling anxious all i am really trying to do is project the exact opposite
1378,id tell him that i feel that to cede control of our lives is the only way to prevent doomnation extremely clever play on damnation i know,joy,id tell him that i feel that to cede control of our lives is the only way to prevent doomnation extremely clever play on damnation i know
1379,i feel hated and isolated but it doesn t hurt,anger,i feel hated and isolated but it does not hurt
1380,i cannot and i feel a strange sadness for a thing that i m now ready for but cannot do,fear,i cannot and i feel a strange sadness for a thing that i am now ready for but cannot do
1381,i used feel frustrated all the time,anger,i used feel frustrated all the time
1382,i thought about it later feeling anxious and worried,fear,i thought about it later feeling anxious and worried
1383,i might start feeling nervous tomorrow but im not sure,fear,i might start feeling nervous tomorrow but i am not sure
1384,i got this amazing news from tracy today the final covers only chapters no wonder we were feeling so rushed and it seemed we didnt have enough time,anger,i got this amazing news from tracy today the final covers only chapters no wonder we were feeling so rushed and it seemed we did not have enough time
1385,i was feeling quite nervous,fear,i was feeling quite nervous
1386,i feel angered and firey,anger,i feel angered and firey
1387,i feel so petty getting all worked up about all this stuff but thats not really whats made me the way i am,anger,i feel so petty getting all worked up about all this stuff but that is not really whats made me the way i am
1388,i feel my children are in harms way i feel frightened,fear,i feel my children are in harms way i feel frightened
1389,i still am not able to remember a single dull moment a detail that pissed me off a thing i didnt feel comfortable about,joy,i still am not able to remember a single dull moment a detail that pissed me off a thing i did not feel comfortable about
1390,i questioned myself wondering why didnt i feel jubilant,joy,i questioned myself wondering why did not i feel jubilant
1391,i love gives me a great feeling of contented accomplishment,joy,i love gives me a great feeling of contented accomplishment
1392,i mean how would you feel if euan got hauled in for murder but you knew he was innocent,joy,i mean how would you feel if euan got hauled in for murder but you knew he was innocent
1393,i always got the feeling she hated me,anger,i always got the feeling she hated me
1394,i am feeling very restless irritable and discontent,fear,i am feeling very restless irritable and discontent
1395,i ended the episode feeling really pissed,anger,i ended the episode feeling really pissed
1396,i was to do the same to them i would have this guilty conscience and i would feel like a heartless bitch,anger,i was to do the same to them i would have this guilty conscience and i would feel like a heartless bitch
1397,i closed her eyes in anger and feeling disgusted by this touch,anger,i closed her eyes in anger and feeling disgusted by this touch
1398,i was feeling out of sorts anxious not sure what to do with myself,fear,i was feeling out of sorts anxious not sure what to do with myself
1399,i feel any team pretty dangerous in playoffs york left wing ruslan fedotenko notes said,anger,i feel any team pretty dangerous in playoffs york left wing ruslan fedotenko notes said
1400,i feel really petty at the moment because i am extremely angry because im broke at the moment and it sort of pisses me off,anger,i feel really petty at the moment because i am extremely angry because i am broke at the moment and it sort of pisses me off
1401,i drove away from today feeling overwhelmed with news that i have heard a trillion times and news that my heart knows already,fear,i drove away from today feeling overwhelmed with news that i have heard a trillion times and news that my heart knows already
1402,i feel like thats a cop out having safe people,joy,i feel like that is a cop out having safe people
1403,i feel so so tortured by looking at the lecture notes and nothing is going in except for my holiday plans,anger,i feel so so tortured by looking at the lecture notes and nothing is going in except for my holiday plans
1404,i think i was right to feel insulted,anger,i think i was right to feel insulted
1405,when i had a serious argument with a dear person,anger,when i had a serious argument with a dear person
1406,i asked myself why do you feel frightened of being,fear,i asked myself why do you feel frightened of being
1407,i am feeling a little grumpy but that could be pms too,anger,i am feeling a little grumpy but that could be pms too
1408,i feel like i want to stop i think of my wimpy muscle less sister who did the tough mudder,fear,i feel like i want to stop i think of my wimpy muscle less sister who did the tough mudder
1409,im here to tell you you arent alone if you feel vulnerable,fear,i am here to tell you you are not alone if you feel vulnerable
1410,i think i almost made my counsellor cry yesterday because i said it feels like i dont have anyone supporting me,joy,i think i almost made my counsellor cry yesterday because i said it feels like i do not have anyone supporting me
1411,i feel a bit shaken though,fear,i feel a bit shaken though
1412,i used to feel from your music is now gone and it has been replaced by a bitter taste in my mouth and a lot of sadness,anger,i used to feel from your music is now gone and it has been replaced by a bitter taste in my mouth and a lot of sadness
1413,i kind of struggled with it though and didnt feel like it was super powerful,joy,i kind of struggled with it though and did not feel like it was super powerful
1414,i feel now so uncomfortable with all of them i guess is me,fear,i feel now so uncomfortable with all of them i guess is me
1415,i sometimes feel i am being stubborn not out of spite but rather in spite of myself,anger,i sometimes feel i am being stubborn not out of spite but rather in spite of myself
1416,i visited the psychologist all those years ago i really took to heart what he said about not closing myself up and letting others know when i feel uncomfortable etc,fear,i visited the psychologist all those years ago i really took to heart what he said about not closing myself up and letting others know when i feel uncomfortable etc
1417,i feel hated by jim martin s,anger,i feel hated by jim martin s
1418,i feel that the thighs are being stubborn and not going away at the same rate as stomach arms or butt,anger,i feel that the thighs are being stubborn and not going away at the same rate as stomach arms or butt
1419,i feel you are very charming but do the other people feel very terrible,joy,i feel you are very charming but do the other people feel very terrible
1420,i feel that we are often at the forefront of what soon becomes popular,joy,i feel that we are often at the forefront of what soon becomes popular
1421,i am such a private person and although i won t be going into anything too personal i m feeling anxious just writing this,fear,i am such a private person and although i won t be going into anything too personal i am feeling anxious just writing this
1422,i felt afraid just before receiving the question paper of the part ii exam,fear,i felt afraid just before receiving the question paper of the part ii exam
1423,i just don t feel thankful rel bookmark some days i just don t feel thankful posted on a href http babychaser,joy,i just do not feel thankful bookmark some days i just do not feel thankful posted on a babychaser
1424,i am ready to cry because i feel such a sweet presence of the ruach hakodesh the holy spirit in my room with me right now,joy,i am ready to cry because i feel such a sweet presence of the ruach hakodesh the holy spirit in my room with me right now
1425,i feel compassion for them and understand why they feel insecure,fear,i feel compassion for them and understand why they feel insecure
1426,i think whenever we moved to a new place i had to find some way to feel accepted,joy,i think whenever we moved to a new place i had to find some way to feel accepted
1427,i feel more irritable and i feel more sensible now than ever,anger,i feel more irritable and i feel more sensible now than ever
1428,i am feeling resentful it is my choice and i can choose to do things differently next time or even change my choice now,anger,i am feeling resentful it is my choice and i can choose to do things differently next time or even change my choice now
1429,i am going to feel annoyed with myself,anger,i am going to feel annoyed with myself
1430,i could be really screwed just on waiting for a sitter so i was feeling stressed,anger,i could be really screwed just on waiting for a sitter so i was feeling stressed
1431,i feel rather petty that i just dont have time to have someone talented like christine make it,anger,i feel rather petty that i just do not have time to have someone talented like christine make it
1432,i was feeling pretty terrified full of nervous energy,fear,i was feeling pretty terrified full of nervous energy
1433,i feel assured that it was the right answer,joy,i feel assured that it was the right answer
1434,i try explaining my feelings and someone dismisses them blindly i feel frustrated and disinterested in discussing my opinions because they cannot put themselves in my place and know what i have experienced by living there,anger,i try explaining my feelings and someone dismisses them blindly i feel frustrated and disinterested in discussing my opinions because they cannot put themselves in my place and know what i have experienced by living there
1435,im not sure if the energy in trying to sew up the race to dubai and competing in the fedex cup has taken more out of me than maybe i thought because while i am feeling ok physically mentally i feel really tired he said,joy,i am not sure if the energy in trying to sew up the race to dubai and competing in the fedex cup has taken more out of me than maybe i thought because while i am feeling ok physically mentally i feel really tired he said
1436,i want to feel safe and well and that maybe just maybe theres a small chance my i can feel joy and my dreams can come true,joy,i want to feel safe and well and that maybe just maybe there is a small chance my i can feel joy and my dreams can come
1437,i been so acquainted with sleep i feel like i should name it to ensure im not being rude or maybe it has a name already,anger,i been so acquainted with sleep i feel like i should name it to ensure i am not being rude or maybe it has a name already
1438,i feeling shy,fear,i feeling shy
1439,i feel tortured by this thought but it feels so true,fear,i feel tortured by this thought but it feels so
1440,i make an arcade i have a very simple purpose and that is to try to make it feel absolutely comfortable physically emotionally practically and absolutely,joy,i make an arcade i have a very simple purpose and that is to try to make it feel absolutely comfortable physically emotionally practically and absolutely
1441,i feel petty moaning about it but its annoying me so from now on im keeping my stuff in a bag in my room if they ask i can always say im keeping it there to stop the bathroom getting cluttered,anger,i feel petty moaning about it but its annoying me so from now on i am keeping my stuff in a bag in my room if they ask i can always say i am keeping it there to stop the bathroom getting cluttered
1442,i feel pretty mellow so far about whatever healing wounding process may be getting underway,joy,i feel pretty mellow so far about whatever healing wounding process may be getting underway
1443,i didn t feel alarmed at all,fear,i did not feel alarmed at all
1444,i do not worry about every nuance of my day and its presentation to others less little things to worry about and that makes me feel less neurotic overall and less likely to trigger psychotic episodes as well,fear,i do not worry about every nuance of my day and its presentation to others less little things to worry about and that makes me feel less neurotic overall and less likely to trigger psychotic episodes as well
1445,i have lost kg and feeling fab,joy,i have lost kg and feeling fab
1446,i said sir i feel from real time company experience that mba would be more valuable for my career than gate since most work now a days in it companies now is support based,joy,i said sir i feel from real time company experience that mba would be more valuable for my career than gate since most work now a days in it companies now is support based
1447,i know we create our own destiny but do you ever feel resentful for the way your life turned out,anger,i know we create our own destiny but do you ever feel resentful for the way your life turned out
1448,i can feel the amused smile that tugs at my lips,joy,i can feel the amused smile that tugs at my lips
1449,i have the right to feel jealous naman to think na theres no us to begin with,anger,i have the right to feel jealous naman to think na there is no us to begin with
1450,i wasn t thinking negatively about any of those things often the feeling was benign or actually an excited anticipation,joy,i was not thinking negatively about any of those things often the feeling was benign or actually an excited anticipation
1451,i do not however feel in any way hostile to anyone or capable of violence,anger,i do not however feel in any way hostile to anyone or capable of violence
1452,i do how empty disappointed angry sad chaotic destructive i feel today im just mad at myself why do i always fuck up shit,anger,i do how empty disappointed angry sad chaotic destructive i feel today i am just mad at myself why do i always fuck up shit
1453,i feel shaken and scared,fear,i feel shaken and scared
1454,i consulted my aunt a doctor partially because i wanted counsel without copay but mostly because i had a feeling my doctors would be skeptical,fear,i consulted my aunt a doctor partially because i wanted counsel without copay but mostly because i had a feeling my doctors would be skeptical
1455,i feel about them i still end up nervous and have those naughty butterflies flying around my stomach,fear,i feel about them i still end up nervous and have those naughty butterflies flying around my stomach
1456,i was feeling mad,anger,i was feeling mad
1457,i was using it to vent out ugly feelings and be vicious and nasty rather then deal with them like an adult,anger,i was using it to vent out ugly feelings and be vicious and nasty rather then deal with them like an adult
1458,i feel very lucky and it is nice to be able to buy some lovely resources for the little ones i care for,joy,i feel very lucky and it is nice to be able to buy some lovely resources for the little ones i care for
1459,i know at least one other person besides myself was feeling nervous and anxious about getting started,fear,i know at least one other person besides myself was feeling nervous and anxious about getting started
1460,i feel so uptight about it because i know you hate it and are constantly trying to catch glimpses of the tv in the window and listen to it,fear,i feel so uptight about it because i know you hate it and are constantly trying to catch glimpses of the tv in the window and listen to it
1461,i didnt feel much like me but thats largely resolved itself,joy,i did not feel much like me but that is largely resolved itself
1462,i want or need to hear to make me feel valued,joy,i want or need to hear to make me feel valued
1463,im feeling indecisive and it scares me,fear,i am feeling indecisive and it scares me
1464,i feel this is very dangerous,anger,i feel this is very dangerous
1465,i could feel was peace which was welcomed after a week of packing saying good bye and dealing with an overwhelming feeling of displacement,joy,i could feel was peace which was welcomed after a week of packing saying good bye and dealing with an overwhelming feeling of displacement
1466,i alba i feel good and im fitting in,joy,i alba i feel good and i am fitting in
1467,i feel like the most hated person on the planet for turning brendon down,anger,i feel like the most hated person on the planet for turning brendon down
1468,i came to the place on base because i wasnt feeling like i should wander too far afield but now i wish i had been more adventurous as i have heard wonderful things about those salons,joy,i came to the place on base because i was not feeling like i should wander too far afield but now i wish i had been more adventurous as i have heard wonderful things about those salons
1469,im feeling rebellious and need to do something to relieve some of the turmoil in my body,anger,i am feeling rebellious and need to do something to relieve some of the turmoil in my body
1470,i was feeling so spiteful i brought it up and i saw the hurt in his face,anger,i was feeling so spiteful i brought it up and i saw the hurt in his face
1471,i can t get past is that feeling when a friend walks out of your life and you re unsure why that feeling of not being valued or important enough,fear,i can t get past is that feeling when a friend walks out of your life and you are unsure why that feeling of not being valued or important enough
1472,i feel ok lol,joy,i feel ok lol
1473,i dont know why but i feel emotionally assaulted by this fact,fear,i do not know why but i feel emotionally assaulted by this fact
1474,i feel friendly when i hate you,joy,i feel friendly when i hate you
1475,im feeling a little gun shy about this,fear,i am feeling a little gun shy about this
1476,i hope to feel a bit more creative again soon and miss its presence in my life blog,joy,i hope to feel a bit more creative again soon and miss its presence in my life blog
1477,i resent you as much as i do that i feel needlessly and unreasonably angry whenever you re around that the slightest idiosyncrasies of yours make me sick,anger,i resent you as much as i do that i feel needlessly and unreasonably angry whenever you are around that the slightest idiosyncrasies of yours make me sick
1478,i know you cant just ged rid of your feelings but seriously i dont see your parents supporting you dating a guy who s their age,joy,i know you cant just ged rid of your feelings but seriously i do not see your parents supporting you dating a guy who s their age
1479,im feeling very hopeful about that and this seems like a good time for me to switch doctors too,joy,i am feeling very hopeful about that and this seems like a good time for me to switch doctors too
1480,i think nicely sums up the feeling of talking too much about artistic pursuits,joy,i think nicely sums up the feeling of talking too much about artistic pursuits
1481,i could almost feel it as the flames singed and tortured her frail delicate body leaving nothing behind but a foul smelling concoction of wood and burnt flesh,fear,i could almost feel it as the flames singed and tortured her frail delicate body leaving nothing behind but a foul smelling concoction of wood and burnt flesh
1482,ive just spent the last half hour feeling ridiculously angry over insensitive comments from my partner but that all changed a few minutes ago to real pride over how much i have changed,anger,i have just spent the last half hour feeling ridiculously angry over insensitive comments from my partner but that all changed a few minutes ago to real pride over how much i have changed
1483,i feel like a proud mother watching their child grow and develop into an adult and quite seriously my business is like a child to me,joy,i feel like a proud mother watching their child grow and develop into an adult and quite seriously my business is like a child to me
1484,i was feeling really frantic i knew i had to find james there too,fear,i was feeling really frantic i knew i had to find james there too
1485,i just woke up from my nap and i feel extremely agitated and grumpy,fear,i just woke up from my nap and i feel extremely agitated and grumpy
1486,i don t know i ve not tried a new character yet the universe feels much more lively than it did when i began so i m hoping that s true for new characters as well,joy,i do not know i have not tried a new character yet the universe feels much more lively than it did when i began so i am hoping that s for new characters as well
1487,i feel that some violent natures are generic,anger,i feel that some violent natures are generic
1488,when people harrass me i feel oppressed by their behavior,anger,when people harrass me i feel oppressed by their behavior
1489,i bet taylor swift basks in the knowledge that the boys she writes songs about probably feel tortured,fear,i bet taylor swift basks in the knowledge that the boys she writes songs about probably feel tortured
1490,i only have a couple of things left to make and at the start of december i am done and feeling smug,joy,i only have a couple of things left to make and at the start of december i am done and feeling smug
1491,i havent exactly gone for a spin around the block yet since id feel strange strapping in a teddy bear in place of a baby but it looks nice and sturdy and like it will do the trick,fear,i have not exactly gone for a spin around the block yet since id feel strange strapping in a teddy bear in place of a baby but it looks nice and sturdy and like it will do the trick
1492,i start to feel unsure,fear,i start to feel unsure
1493,i feel apprehensive while opening the blue door,fear,i feel apprehensive while opening the blue door
1494,i feel uncertain about something i will act in a more positive and powerful way,fear,i feel uncertain about something i will act in a more positive and powerful way
1495,i know you contributed to my success but i am just feeling petty enough today to ignore those contributions,anger,i know you contributed to my success but i am just feeling petty enough today to ignore those contributions
1496,when i happen to witness some sadistic acts,anger,when i happen to witness some sadistic acts
1497,i hope to see or feel a mad glint in your eye because some madness some pathological curiosity is needed,anger,i hope to see or feel a mad glint in your eye because some madness some pathological curiosity is needed
1498,i don t know if i have told this to you but i feel intimidated by how smart you are,fear,i do not know if i have told this to you but i feel intimidated by how smart you are
1499,i want to tell you what im feeling but i dont know where to start i want to tell you everything but im afraid youll break my heart why would something easy be so hard to do,fear,i want to tell you what i am feeling but i do not know where to start i want to tell you everything but i am afraid youll break my heart why would something easy be so hard to do
1500,i just need to express my feeling badly ignore this if i offended you,anger,i just need to express my feeling badly ignore this if i offended you
1501,i feel you i can t take more than mg of seroquel either because the restless leg syndrome keeps me awake all night,fear,i feel you i can t take more than mg of seroquel either because the restless leg syndrome keeps me awake all night
1502,im just really hurting and feeling a bit overwhelmed,fear,i am just really hurting and feeling a bit overwhelmed
1503,i feel entirely free to express the way i feel about surroundings my life and the myriad of experiences that continue to make me who i am,joy,i feel entirely free to express the way i feel about surroundings my life and the myriad of experiences that continue to make me who i am
1504,my mother did not come home till late at night ages ago anyway if i dont know where my parents are and when theyll be back i start thinking that perhaps they have had an accident and are perhaps dead,fear,my mother did not come home till late at night ages ago anyway if i do not know where my parents are and when theyll be back i start thinking that perhaps they have had an accident and are perhaps dead
1505,i feel so overwhelmed im nauseous,fear,i feel so overwhelmed i am nauseous
1506,i feel like im selfish,anger,i feel like i am selfish
1507,i feel like i m a very very dangerous human being right now,anger,i feel like i am a very very dangerous human being right now
1508,im taking advantage of feeling artistic incase it runs away again bell had her baby the other day yay,joy,i am taking advantage of feeling artistic incase it runs away again bell had her baby the other day yay
1509,i manage to reach a conclusion after all my musings i feel somehow more resolved,joy,i manage to reach a conclusion after all my musings i feel somehow more resolved
1510,i feel heartless now feeling bored and not believe in love anymore,anger,i feel heartless now feeling bored and not believe in love anymore
1511,i feel bashful under his teasing scrutiny,fear,i feel bashful under his teasing scrutiny
1512,i doing something that make you feel bothered,anger,i doing something that make you feel bothered
1513,i don t want to cry either because i know she ll think i feel tortured having to eat the black part of the rice,anger,i do not want to cry either because i know she will think i feel tortured having to eat the black part of the rice
1514,i feel greedy and selfish,anger,i feel greedy and selfish
1515,i feel so invigorated so focused about what im being led to pursue right now and in the future,joy,i feel so invigorated so focused about what i am being led to pursue right now and in the future
1516,i feel shy when people reading these but i am writing it here so brothers and sisters would see how real life works,fear,i feel shy when people reading these but i am writing it here so brothers and sisters would see how real life works
1517,i feel so violent but im a paper tiger,anger,i feel so violent but i am a paper tiger
1518,i feel like i should try to calm her down shes been very good to me since the games ended but i can see katniss getting more and more tense with every schedule adjustment,joy,i feel like i should try to calm her down shes been very good to me since the games ended but i can see katniss getting more and more tense with every schedule adjustment
1519,i feel especially vulnerable to being treated as a second class citizen,fear,i feel especially vulnerable to being treated as a second citizen
1520,i could feel that the person was pissed at me because that person didnt understand what i was trying to say and so there was further personal attack again asking me whats my nationality giving me that shit face and blah blah,anger,i could feel that the person was pissed at me because that person did not understand what i was trying to say and so there was further personal attack again asking me whats my nationality giving me that shit face and blah blah
1521,i remember two specific things from that class feeling terrified of my teacher who would repeat the same question in spanish with increasing volume until his victim either managed to answer correctly or ran away screaming and feeling distracted by the cute boy who helped me study for tests,fear,i remember two specific things from that feeling terrified of my teacher who would repeat the same question in spanish with increasing volume until his victim either managed to answer correctly or ran away screaming and feeling distracted by the cute boy who helped me study for tests
1522,i love those ted talks i feel intimidated more than inspired because greater than great can be found in simplicity too,fear,i love those ted talks i feel intimidated more than inspired because greater than great can be found in simplicity too
1523,i know tv isnt everyones cup of tea so if that includes you feel free to scroll down a bit,joy,i know tv is not everyones cup of tea so if that includes you feel free to scroll down a bit
1524,i still feel a bit overwhelmed,fear,i still feel a bit overwhelmed
1525,ive been hanging around younger people and when i am with them i feel like im but when i see the photos of us together i am suddenly shaken to see just how old i look,fear,i have been hanging around younger people and when i am with them i feel like i am but when i see the photos of us together i am suddenly shaken to see just how old i look
1526,im feeling so invigorated and ready for whats ahead and very excited to share all that information with all of you,joy,i am feeling so invigorated and ready for whats ahead and very excited to share all that information with all of you
1527,i feel so honored to know all of you,joy,i feel so honored to know all of you
1528,i have a feeling i may be popular with the lady folk,joy,i have a feeling i may be popular with the lady folk
